11 4.0 545.79 -619.21
12 4.0 563.27 -613.92
13 4.0 521.49 -389.88
14 4.0 316.31 -456.41
15 4.0 465.81 -355.23
16 4.0 501.57 -344.16
17 4.0 545.42 -460.97
18 4.0 300.19 -740.23
19 4.0 582.38 -608.28
20 4.0 477.56 -643.19
21 4.0 463.52 -647.43
22 4.0 346.94 -678.91
23 4.0 797.50 -469.63
24 4.0 853.75 -533.82
25 4.0 856.51 -547.18
26 4.0 666.15 -867.27
27 4.0 661.88 -852.68
28 4.0 619.74 -766.51
29 4.0 605.50 -770.80
30 4.0 615.66 -687.83
31 4.0 648.94 -798.48
32 4.0 320.03 -816.89
33 4.0 315.62 -801.90
34 4.0 609.69 -678.95
35 4.0 589.28 -612.20
36 4.0 584.63 -597.29
37 4.0 579.78 -581.77
38 4.0 346.52 -544.56
39 4.0 339.26 -868.46
40 4.0 343.74 -883.09
41 4.0 350.88 -906.37
42 4.0 516.74 -356.56
43 4.0 531.54 -476.05
44 4.0 922.74 -413.59
45 4.0 839.39 -411.97
6 5.0 624.59 -717.51
7 5.0 629.72 -734.47
8 5.0 339.35 -879.66
9 5.0 415.82 -957.82
10 5.0 522.88 -626.14
11 5.0 538.25 -621.49
12 5.0 555.25 -616.35
13 5.0 522.05 -398.31
14 5.0 318.72 -464.28
15 5.0 455.00 -358.57
16 5.0 491.61 -347.24
17 5.0 543.00 -453.22
18 5.0 297.72 -732.11
19 5.0 579.46 -609.03
20 5.0 484.18 -641.19
21 5.0 468.95 -645.79
22 5.0 339.11 -678.35
23 5.0 790.80 -471.70
24 5.0 854.06 -529.04
25 5.0 855.17 -542.29
26 5.0 666.97 -873.87
27 5.0 663.58 -858.50
28 5.0 626.00 -764.62
29 5.0 611.63 -768.95
30 5.0 613.32 -679.95
31 5.0 646.89 -791.69
32 5.0 321.92 -823.03
33 5.0 317.58 -808.35
34 5.0 611.58 -685.32
35 5.0 591.27 -618.61
36 5.0 586.71 -603.94
37 5.0 581.87 -588.46
38 5.0 344.48 -537.55
39 5.0 337.03 -861.16
40 5.0 341.95 -877.24
41 5.0 348.41 -898.32
42 5.0 516.77 -363.01
43 5.0 523.42 -478.53
44 5.0 922.74 -413.59
45 5.0 844.23 -407.26
6 6.0 622.32 -709.99
7 6.0 627.21 -726.23
8 6.0 341.83 -887.75
9 6.0 424.53 -955.23
10 6.0 515.47 -628.39
11 6.0 530.98 -623.69
12 6.0 547.82 -618.59
13 6.0 524.63 -406.85
14 6.0 320.86 -471.23
15 6.0 444.84 -361.60
16 6.0 481.79 -350.28
17 6.0 540.82 -446.16
18 6.0 295.39 -724.44
19 6.0 574.10 -610.65
20 6.0 490.23 -639.35
21 6.0 475.33 -643.86
22 6.0 332.15 -680.47
23 6.0 783.80 -473.87
24 6.0 851.91 -524.73
25 6.0 854.07 -537.84
26 6.0 662.79 -878.81
27 6.0 665.62 -865.46
28 6.0 631.15 -763.42
29 6.0 617.24 -767.26
30 6.0 610.85 -671.61
31 6.0 645.02 -785.52
32 6.0 323.95 -829.45
33 6.0 319.22 -814.04
34 6.0 613.35 -691.27
35 6.0 593.24 -624.98
36 6.0 588.60 -610.02
37 6.0 584.15 -595.77
38 6.0 342.48 -530.79
39 6.0 335.77 -856.49
40 6.0 339.60 -869.58
41 6.0 346.06 -890.67
42 6.0 517.10 -368.10
43 6.0 514.40 -481.27
44 6.0 922.74 -413.59
45 6.0 851.67 -402.68
6 7.0 619.96 -702.16
7 7.0 624.79 -718.19
8 7.0 344.28 -895.76
9 7.0 432.94 -952.74
10 7.0 508.26 -630.56
11 7.0 524.14 -625.76
12 7.0 540.65 -620.76
13 7.0 527.35 -414.94
14 7.0 323.20 -478.81
15 7.0 433.00 -361.77
16 7.0 472.20 -353.25
17 7.0 538.37 -438.18
18 7.0 293.12 -716.99
19 7.0 566.46 -612.96
20 7.0 496.73 -637.39
21 7.0 481.49 -642.00
22 7.0 324.94 -682.65
23 7.0 776.30 -476.20
24 7.0 848.01 -522.82
25 7.0 853.78 -533.25
26 7.0 657.12 -880.98
27 7.0 667.10 -871.84
28 7.0 635.55 -765.91
29 7.0 622.58 -765.65
30 7.0 608.41 -663.42
31 7.0 643.15 -779.34
32 7.0 325.89 -835.63
33 7.0 321.24 -820.86
34 7.0 615.11 -697.13
35 7.0 595.25 -631.44
36 7.0 590.77 -617.00
37 7.0 585.98 -601.60
38 7.0 340.23 -523.37
39 7.0 337.37 -851.81
40 7.0 338.33 -865.42
41 7.0 343.50 -882.30
42 7.0 517.47 -374.81
43 7.0 506.17 -483.58
44 7.0 922.74 -413.59
45 7.0 862.07 -401.84
6 8.0 617.69 -694.62
7 8.0 622.31 -709.96
8 8.0 346.39 -902.65
9 8.0 441.15 -950.30
10 8.0 501.96 -632.47
11 8.0 517.37 -627.81
12 8.0 533.49 -622.93
13 8.0 530.08 -422.91
14 8.0 325.44 -486.27
15 8.0 422.14 -364.98
16 8.0 461.20 -353.30
17 8.0 536.47 -430.41
18 8.0 290.67 -708.95
19 8.0 558.04 -615.50
20 8.0 503.37 -635.38
21 8.0 488.35 -639.92
22 8.0 316.81 -685.12
23 8.0 769.22 -478.42
24 8.0 845.40 -517.85
25 8.0 853.87 -528.06
26 8.0 651.01 -882.87
27 8.0 665.43 -876.88
28 8.0 637.29 -770.74
29 8.0 627.70 -764.11
30 8.0 605.98 -655.26
31 8.0 641.25 -772.91
32 8.0 327.97 -842.47
33 8.0 323.31 -827.45
34 8.0 617.12 -703.79
35 8.0 597.23 -637.82
36 8.0 592.78 -623.49
37 8.0 588.35 -609.21
38 8.0 337.97 -516.06
39 8.0 342.42 -849.87
40 8.0 336.53 -859.54
41 8.0 341.38 -875.38
42 8.0 517.80 -380.96
43 8.0 496.94 -485.97
44 8.0 922.74 -413.59
45 8.0 872.51 -401.01
6 9.0 615.24 -686.44
7 9.0 620.26 -703.13
8 9.0 348.61 -909.90
9 9.0 449.91 -947.69
10 9.0 494.89 -634.61
11 9.0 510.59 -629.86
12 9.0 525.82 -625.25
13 9.0 530.38 -432.08
14 9.0 327.88 -494.27
15 9.0 411.75 -368.06
16 9.0 451.32 -356.34
